Sample	Type	Household	Household_code_name	Area	Room	SurfaceTouchFrequency	SurfaceDeposition	Occupancy	Individual	Window	Temperature	Humidity
HFC-3Z-RF	Skin	Heng Fa Chuen	HFC	Right Forearm	NA	NA	NA	Low	HFC 3Z	Open	NA	NA
HFC-3Z-RP	Skin	Heng Fa Chuen	HFC	Right Palm	NA	NA	NA	Low	HFC 3Z	Open	NA	NA
HFC1BRWIN	Air	Heng Fa Chuen	HFC	Bedroom	Bedroom	NA	NA	Low	NA	Open	20.2	66.45
HFC1KCWIN	Air	Heng Fa Chuen	HFC	Kitchen	Kitchen	NA	NA	Low	NA	Open	20.2	66.45
HFC1LRWIN	Air	Heng Fa Chuen	HFC	Living Room	Living Room	NA	NA	Low	NA	Open	20.2	66.45
HFC1TLWIN	Air	Heng Fa Chuen	HFC	Toilet	Bathroom	NA	NA	Low	NA	Open	20.2	66.45
HFC2BHBWIN	Surface	Heng Fa Chuen	HFC	Bed Headboard	Bedroom	High	Low	Low	NA	Open	NA	NA
HFC2BLKWIN	Surface	Heng Fa Chuen	HFC	Blanket	Bedroom	High	High	Low	NA	Open	NA	NA
HFC2FDSWIN	Surface	Heng Fa Chuen	HFC	Fridge Door Seal	Kitchen	Low	Low	Low	NA	Open	NA	NA
HFC2KVTWIN	Surface	Heng Fa Chuen	HFC	Kitchen Ventilator	Kitchen	Low	High	Low	NA	Open	NA	NA
HFC2RMCWIN	Surface	Heng Fa Chuen	HFC	Remote Control	Living Room	High	Low	Low	NA	Open	NA	NA
HFC2SCRWIN	Surface	Heng Fa Chuen	HFC	TV Screen	Living Room	Low	High	Low	NA	Open	NA	NA
HFC2SWCWIN	Surface	Heng Fa Chuen	HFC	Shower Curtain	Bathroom	High	Low	Low	NA	Open	NA	NA
HFC2TFBWIN	Surface	Heng Fa Chuen	HFC	Toilet Flush Button	Bathroom	High	Low	Low	NA	Open	NA	NA
HHa-3Z-FOH	Skin	Hung Hom A	HHA	Forehead	NA	NA	NA	Low	HHA 3Z	Open	NA	NA
HHa-3Z-LF	Skin	Hung Hom A	HHA	Left Forearm	NA	NA	NA	Low	HHA 3Z	Open	NA	NA
HHa-3Z-LP	Skin	Hung Hom A	HHA	Left Palm	NA	NA	NA	Low	HHA 3Z	Open	NA	NA
HHa-3Z-RF	Skin	Hung Hom A	HHA	Right Forearm	NA	NA	NA	Low	HHA 3Z	Open	NA	NA
HHa-3Z-RP	Skin	Hung Hom A	HHA	Right Palm	NA	NA	NA	Low	HHA 3Z	Open	NA	NA
HHa1BRWIN	Air	Hung Hom A	HHA	Bedroom	Bedroom	NA	NA	Low	NA	Open	19.8	72.7
HHa1KCWIN	Air	Hung Hom A	HHA	Kitchen	Kitchen	NA	NA	Low	NA	Open	19.8	72.7
HHa1LRWIN	Air	Hung Hom A	HHA	Living Room	Living Room	NA	NA	Low	NA	Open	19.8	72.7
HHa1TLWIN	Air	Hung Hom A	HHA	Toilet	Bathroom	NA	NA	Low	NA	Open	19.8	72.7
HHa2BHBWIN	Surface	Hung Hom A	HHA	Bed Headboard	Bedroom	High	Low	Low	NA	Open	NA	NA
HHa2BLKWIN	Surface	Hung Hom A	HHA	Blanket	Bedroom	High	High	Low	NA	Open	NA	NA
HHa2FDSWIN	Surface	Hung Hom A	HHA	Fridge Door Seal	Kitchen	Low	Low	Low	NA	Open	NA	NA
HHa2KVTWIN	Surface	Hung Hom A	HHA	Kitchen Ventilator	Kitchen	Low	High	Low	NA	Open	NA	NA
HHa2RMCWIN	Surface	Hung Hom A	HHA	Remote Control	Living Room	High	Low	Low	NA	Open	NA	NA
HHa2SCRWIN	Surface	Hung Hom A	HHA	TV Screen	Living Room	Low	High	Low	NA	Open	NA	NA
HHa2SWCWIN	Surface	Hung Hom A	HHA	Shower Curtain	Bathroom	High	Low	Low	NA	Open	NA	NA
HHa2TFBWIN	Surface	Hung Hom A	HHA	Toilet Flush Button	Bathroom	High	Low	Low	NA	Open	NA	NA
HHb1BRWIN	Air	Hung Hom B	HHB	Bedroom	Bedroom	NA	NA	Low	NA	Open	20.15	72.7
HHb1KCWIN	Air	Hung Hom B	HHB	Kitchen	Kitchen	NA	NA	Low	NA	Open	20.15	72.7
HHb1LRWIN	Air	Hung Hom B	HHB	Living Room	Living Room	NA	NA	Low	NA	Open	20.15	72.7
HHb1TLWIN	Air	Hung Hom B	HHB	Toilet	Bathroom	NA	NA	Low	NA	Open	20.15	72.7
HHb2BHBWIN	Surface	Hung Hom B	HHB	Bed Headboard	Bedroom	High	Low	Low	NA	Open	NA	NA
HHb2BLKWIN	Surface	Hung Hom B	HHB	Blanket	Bedroom	High	High	Low	NA	Open	NA	NA
HHb2FDSWIN	Surface	Hung Hom B	HHB	Fridge Door Seal	Kitchen	Low	Low	Low	NA	Open	NA	NA
HHb2KVTWIN	Surface	Hung Hom B	HHB	Kitchen Ventilator	Kitchen	Low	High	Low	NA	Open	NA	NA
HHb2RMCWIN	Surface	Hung Hom B	HHB	Remote Control	Living Room	High	Low	Low	NA	Open	NA	NA
HHb2SCRWIN	Surface	Hung Hom B	HHB	TV Screen	Living Room	Low	High	Low	NA	Open	NA	NA
HHb2SWCWIN	Surface	Hung Hom B	HHB	Shower Curtain	Bathroom	High	Low	Low	NA	Open	NA	NA
HHb2TFBWIN	Surface	Hung Hom B	HHB	Toilet Flush Button	Bathroom	High	Low	Low	NA	Open	NA	NA
KT-3Z-FOH	Skin	Kwun Tong	KT	Forehead	NA	NA	NA	Low	KT 3Z	Closed	NA	NA
KT-3Z-LF	Skin	Kwun Tong	KT	Left Forearm	NA	NA	NA	Low	KT 3Z	Closed	NA	NA
KT-3Z-LP	Skin	Kwun Tong	KT	Left Palm	NA	NA	NA	Low	KT 3Z	Closed	NA	NA
KT-3Z-RF	Skin	Kwun Tong	KT	Right Forearm	NA	NA	NA	Low	KT 3Z	Closed	NA	NA
KT-3Z-RP	Skin	Kwun Tong	KT	Right Palm	NA	NA	NA	Low	KT 3Z	Closed	NA	NA
KT1BRWIN	Air	Kwun Tong	KT	Bedroom	Bedroom	NA	NA	Low	NA	Closed	19.55	49.6
KT1KCWIN	Air	Kwun Tong	KT	Kitchen	Kitchen	NA	NA	Low	NA	Closed	19.55	49.6
KT1LRWIN	Air	Kwun Tong	KT	Living Room	Living Room	NA	NA	Low	NA	Closed	19.55	49.6
KT1TLWIN	Air	Kwun Tong	KT	Toilet	Bathroom	NA	NA	Low	NA	Closed	19.55	49.6
KT2BHBWIN	Surface	Kwun Tong	KT	Bed Headboard	Bedroom	High	Low	Low	NA	Closed	NA	NA
KT2BLKWIN	Surface	Kwun Tong	KT	Blanket	Bedroom	High	High	Low	NA	Closed	NA	NA
KT2FDSWIN	Surface	Kwun Tong	KT	Fridge Door Seal	Kitchen	Low	Low	Low	NA	Closed	NA	NA
KT2KVTWIN	Surface	Kwun Tong	KT	Kitchen Ventilator	Kitchen	Low	High	Low	NA	Closed	NA	NA
KT2RMCWIN	Surface	Kwun Tong	KT	Remote Control	Living Room	High	Low	Low	NA	Closed	NA	NA
KT2SCRWIN	Surface	Kwun Tong	KT	TV Screen	Living Room	Low	High	Low	NA	Closed	NA	NA
